zip,city,county,state,center_latitude,center_longitude
00501,Holtsville,Suffolk,NY,40.81,-73.04
00544,Holtsville,Suffolk,NY,40.81,-73.04
00601,Adjuntas,Adjuntas,PR,18.16,-66.72
00602,Aguada,,PR,18.38,-67.18
00603,Aguadilla,Aguadilla,PR,18.43,-67.15
00604,Aguadilla,,PR,18.43,-67.15
00605,Aguadilla,,PR,18.43,-67.15
00606,Maricao,Maricao,PR,18.18,-66.98
00610,Anasco,,PR,18.28,-67.14
00611,Angeles,,PR,18.28,-66.79
00612,Arecibo,Arecibo,PR,18.45,-66.73
00613,Arecibo,,PR,18.45,-66.73
00614,Arecibo,,PR,18.45,-66.73
00616,Bajadero,Arecibo,PR,18.4,-66.66
00617,Barceloneta,Barceloneta,PR,18.45,-66.53
00622,Boqueron,,PR,17.99,-67.15
00623,"Cabo Rojo",,PR,18.08,-67.14
00624,Penuelas,,PR,18.06,-66.72
00627,Camuy,,PR,18.48,-66.84
00631,Castaner,,PR,18.19,-66.82
00636,Rosario,,PR,18.15,-67.06
00637,"Sabana Grande",,PR,18.08,-66.96
00638,Ciales,,PR,18.33,-66.47
00641,Utuado,,PR,18.27,-66.7
00646,Dorado,,PR,18.47,-66.27
00647,Ensenada,,PR,17.96,-66.94
00650,Florida,,PR,18.36,-66.56
00652,Garrochales,Arecibo,PR,18.45,-66.6
00653,Guanica,,PR,17.97,-66.93
00656,Guayanilla,,PR,18.02,-66.79
00659,Hatillo,,PR,18.48,-66.82
00660,Hormigueros,,PR,18.14,-67.12
00662,Isabela,,PR,18.5,-67.02
00664,Jayuya,,PR,18.22,-66.59
00667,Lajas,,PR,18.04,-67.06
00669,Lares,,PR,18.29,-66.88
00670,"Las Marias",,PR,18.27,-67.06
00674,Manati,,PR,18.43,-66.48
00676,Moca,,PR,18.39,-67.11
00677,Rincon,,PR,18.34,-67.25
00678,Quebradillas,,PR,18.47,-66.93
00680,Mayaguez,,PR,18.2,-67.14
00681,Mayaguez,,PR,18.2,-67.14
00682,Mayaguez,,PR,18.2,-67.14
00683,"San German",,PR,18.08,-67.04
00685,"San Sebastian",,PR,18.33,-66.99
00687,Morovis,,PR,18.32,-66.4
00688,"Sabana Hoyos",,PR,18.38,-66.62
00690,"San Antonio",,PR,18.49,-67.09
00692,"Vega Alta",,PR,18.41,-66.32
00693,"Vega Baja",,PR,18.44,-66.39
00694,"Vega Baja",,PR,18.44,-66.39
00698,Yauco,,PR,18.03,-66.86
00703,"Aguas Buenas",,PR,18.25,-66.1
00704,Aguirre,,PR,17.96,-66.22
00705,Aibonito,,PR,18.14,-66.26
00707,Maunabo,,PR,18,-65.9
00714,Arroyo,,PR,17.97,-66.06
00715,Mercedita,,PR,18,-66.56
00716,Ponce,Ponce,PR,17.98,-66.6
00717,Ponce,,PR,17.98,-66.6
00718,Naguabo,,PR,18.21,-65.73
00719,Naranjito,,PR,18.3,-66.24
00720,Orocovis,,PR,18.22,-66.39
00721,Palmer,,PR,18.37,-65.77
00723,Patillas,Patillas,PR,18,-66.01
00725,Caguas,,PR,18.23,-66.03
00726,Caguas,,PR,18.23,-66.03
00727,Caguas,,PR,18.23,-66.03
00728,Ponce,,PR,17.98,-66.6
00729,Canovanas,Canovanas,PR,18.37,-65.9
00730,Ponce,,PR,17.98,-66.6
00731,Ponce,,PR,17.98,-66.6
00732,Ponce,,PR,17.98,-66.6
00733,Ponce,,PR,17.98,-66.6
00734,Ponce,,PR,17.98,-66.6
